NMFS_DNA_ID,PHENOTYPE,COLLECTION_DATE,REACH_SITE,LOCATION_COMMENTS_F,LATITUDE_F,LONGITUDE_F,Sample_ID,Sample_Plate
T022439,NA,2006-11-07,reach 5,NA,NA,NA,CH14771,T022439_T237_6A
T022440,NA,2006-11-07,reach 5,NA,NA,NA,CH14783,T022440_T237_6B
T022441,NA,2006-11-07,reach 6,NA,NA,NA,CH14795,T022441_T237_6C
T022442,NA,2006-11-07,reach 6,NA,NA,NA,CH14807,T022442_T237_6D
T022443,NA,2006-11-07,reach 6,NA,NA,NA,CH14819,T022443_T237_6E
T022444,NA,2006-11-07,reach 6,NA,NA,NA,CH14831,T022444_T237_6F
T022445,NA,2006-11-07,reach 10,NA,NA,NA,CH14843,T022445_T237_6G
T022446,NA,2006-11-10,reach 5,NA,NA,NA,CH14855,T022446_T237_6H
T022447,NA,2006-11-10,reach 5,NA,NA,NA,CH14772,T022447_T237_7A
T022448,NA,2006-11-10,reach 5,NA,NA,NA,CH14784,T022448_T237_7B
T022449,NA,2006-11-10,reach 5,NA,NA,NA,CH14796,T022449_T237_7C
T022450,NA,2006-11-10,reach 5,NA,NA,NA,CH14808,T022450_T237_7D
T022451,NA,2006-11-10,reach 4,NA,NA,NA,CH14820,T022451_T237_7E
T022452,NA,2006-11-10,reach 4,NA,NA,NA,CH14832,T022452_T237_7F
T022453,NA,2006-11-10,reach 4,NA,NA,NA,CH14844,T022453_T237_7G
T022454,NA,2006-11-10,reach 4,NA,NA,NA,CH14856,T022454_T237_7H
T022455,NA,2006-11-10,reach 4,NA,NA,NA,CH14773,T022455_T237_8A
T022456,NA,2006-11-10,reach 4,NA,NA,NA,CH14785,T022456_T237_8B
T022457,NA,2006-11-10,reach 4,NA,NA,NA,CH14797,T022457_T237_8C
T022458,NA,2006-11-10,reach 4,NA,NA,NA,CH14809,T022458_T237_8D
T022459,NA,2006-11-10,reach 4,NA,NA,NA,CH14821,T022459_T237_8E
T022460,NA,2006-11-10,reach 4,NA,NA,NA,CH14833,T022460_T237_8F
T022461,NA,2006-11-10,reach 4,NA,NA,NA,CH14845,T022461_T237_8G
T022462,NA,2006-11-10,reach 6,NA,NA,NA,CH14857,T022462_T237_8H
T022463,NA,2006-11-10,reach 9,NA,NA,NA,CH14774,T022463_T237_9A
T022464,NA,2006-11-10,reach 9,NA,NA,NA,CH14786,T022464_T237_9B
T022465,NA,2006-11-10,reach 10,NA,NA,NA,CH14798,T022465_T237_9C
T022468,NA,2006-11-28,reach 5,NA,NA,NA,CH14810,T022468_T237_9F
T022469,NA,2006-11-28,reach 5,NA,NA,NA,CH14822,T022469_T237_9G
T022470,NA,2006-12-01,reach 6,NA,NA,NA,CH14834,T022470_T237_9H
T022471,NA,2006-12-01,reach 6,NA,NA,NA,CH14846,T022471_T237_10A
T022472,NA,2006-12-01,reach 6,NA,NA,NA,CH14858,T022472_T237_10B
T026442,NA,2006-10-27,Reach 9A,"Salmon River, North Fork",NA,NA,CH14585,T026442_T279_2D
T026443,NA,2006-10-27,Reach 6A,"Salmon River, South Fork",NA,NA,CH14597,T026443_T279_2E
T026444,NA,2006-10-31,Reach 4A,"Salmon River, Forks to Nordy",NA,NA,CH14609,T026444_T279_2F
T026445,NA,2006-10-31,Reach 4A,Salmon River,NA,NA,CH14621,T026445_T279_2G
T026446,NA,2006-10-31,Reach 9,Salmon River,NA,NA,CH14633,T026446_T279_2H
T026447,NA,2006-10-31,Reach 6A,Salmon River,NA,NA,CH14574,T026447_T279_3A
T026448,NA,2006-10-31,Reach 6A,Salmon River,NA,NA,CH14586,T026448_T279_3B
T026449,NA,2006-10-17,Reach 4A,Salmon River,NA,NA,CH14598,T026449_T279_3C
T026450,NA,2006-10-17,Reach 5A,"Salmon River, Method: Car, Oferal to Henn Bell",NA,NA,CH14610,T026450_T279_3D
T026451,NA,2006-10-17,Reach 6B,"Salmon River, Method: Car",NA,NA,CH14622,T026451_T279_3E
T026452,NA,2006-10-17,Reach 9,"Salmon River, 4 to Forks",NA,NA,CH14634,T026452_T279_3F
T026453,NA,2006-10-17,Reach 9,"Salmon River, North Fork, Method: Car",NA,NA,CH14646,T026453_T279_3G
T026454,NA,2006-10-17,Reach 10,"Salmon River, North Fork",NA,NA,CH14658,T026454_T279_3H
